TRI Facility Name,TRI Facility ID,Year,Census Tract,Census Block Group,Demographic Index Percentile,Supplemental Demographic Index Percentile,People of Color Percentile,Low Income Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,Under Age 5 Percentile,Over Age 64 Percentile,ZIP Code,Street Address,City,Latitude,Longitude,Chemical,Industry Sector,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2020,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Toluene (108-88-3),4247 Petroleum Bulk Terminals,268.0,268.0,0.0,0,0.0,268.0,165651,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2020,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Certain glycol ethers (N230),4246 Chemical Wholesalers,249.0,249.0,0.0,0,0.0,249.0,39576060,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2020,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Xylene (mixed isomers) (1330-20-7),4247 Petroleum Bulk Terminals,214.0,214.0,0.0,0,0.0,214.0,6613670,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2020,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Nonylphenol Ethoxylates (N535),4246 Chemical Wholesalers,162.0,162.0,0.0,0,0.0,162.0,0,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Toluene diisocyanate (mixed isomers) (26471-62-5),325 Chemicals,155.44,155.44,0.0,0,0.0,155.44,6862676000,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,"1,2,4-Trimethylbenzene (95-63-6)",325 Chemicals,142.0,142.0,0.0,0,0.0,14710.0,7272388,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Ethylene glycol (107-21-1),325 Chemicals,142.0,142.0,0.0,0,0.0,7138.0,1103397,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Methyl methacrylate (80-62-6),325 Chemicals,129.5,129.5,0.0,0,0.0,129.5,571743,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2020,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Ethylbenzene (100-41-4),4247 Petroleum Bulk Terminals,116.0,116.0,0.0,0,0.0,116.0,91160920,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2020,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,"1,2,4-Trimethylbenzene (95-63-6)",4247 Petroleum Bulk Terminals,107.19,107.19,0.0,0,0.0,107.19,5489629,0
METALPLATE GALVANIZING LP,30336MTLPL500SE,2020,13121007805,131210078051,89,62,94,70,62,59,23,43,24,30336,505 SELIG DR SW,"ATLANTA, GA",33.74632,-84.54594,Zinc compounds (N982),332 Fabricated Metals,80.0,0.0,0.0,0,80.0,690085.0,7064000,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2020,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Benzene (71-43-2),4247 Petroleum Bulk Terminals,71.46,71.46,0.0,0,0.0,71.46,1766777040,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2020,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,n-Hexane (110-54-3),4247 Petroleum Bulk Terminals,54.0,54.0,0.0,0,0.0,54.0,238410,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2020,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Pentachlorophenol (87-86-5),321 Wood Products,36.46,0.0,36.0,0,0.46,1580.8,13042969600,0
CLOROX PRODUCTS MANUFACTURING CO,30050CLRXC17LAK,2020,13063040308,130630403081,94,97,83,96,65,95,96,0,17,30297,17 LAKE MIRROR RD,"FOREST PARK, GA",33.627222,-84.386839,Certain glycol ethers (N230),325 Chemicals,26.01,10.13,0.0,0,15.88,208.65,6657520,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2020,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Naphthalene (91-20-3),4247 Petroleum Bulk Terminals,19.24,19.24,0.0,0,0.0,19.24,203867040,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Cobalt compounds (N096),325 Chemicals,7.3,7.3,0.0,0,0.0,7.3,109580300000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,"N,N-Dimethylaniline (121-69-7)",325 Chemicals,6.49,6.49,0.0,0,0.0,6.49,15472809,0
HM SOUTHEAST CONCRETE LLC - TYRONE PLANT,3029WFRBRN1PEGG,2020,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,100 PEGGY LN,"TYRONE, GA",33.49602,-84.57894,Lead compounds (N420),327 Nonmetallic Mineral Product,1.19,1.19,0.0,0,0.0,1.19,24080381,0
PAVESTONE - TYRONE GA PLANT,3029WPVSTN169PE,2020,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,169 PEGGY LN,"TYRONE, GA",33.497216,-84.58073,Lead (7439-92-1),327 Nonmetallic Mineral Product,1.0,1.0,0.0,0,0.0,1.0,20309000,0
HM SOUTHEAST CONCRETE LLC - FAIRBURN PLANT,3021WFRBRN387BA,2020,13121010528,131210105283,90,56,90,79,0,0,0,0,0,30213,387 BAY ST NE,"FAIRBURN, GA",33.57077,-84.5703,Lead compounds (N420),327 Nonmetallic Mineral Product,0.79,0.79,0.0,0,0.0,0.79,16143624,0
ARGOS RED OAK CONCRETE PLANT,30337RDKCN2685S,2020,13121010522,131210105222,90,53,96,71,52,0,0,92,4,30337,2685 SULLIVAN RD,"COLLEGE PARK, GA",33.62472,-84.47552,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.09,0.09,0.0,0,0.0,0.09,1827810,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Nonylphenol Ethoxylates (N535),325 Chemicals,0.05,0.0,0.0,0,0.05,3155.05,0,0
THOMAS CONCRETE - BEN HILL,3033WTHMSC2454D,2020,13121007710,131210077103,92,57,92,83,0,0,0,0,43,30331,2454 DANIELS ROAD,"ATLANTA, GA",33.68739,-84.51495,Lead compounds (N420),327 Nonmetallic Mineral Product,0.05,0.05,0.0,0,0.0,0.05,974832,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2020,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Dioxin and dioxin-like compounds (N150),321 Wood Products,0.01,0.0,0.01,0,0.0,0.6,84604382,0
BEKO TECHNOLOGIES CORP,3037WBKTCH9GREA,2020,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,900 GREAT SOUTHWEST PKWY SW,"ATLANTA, GA",33.73386,-84.57059,Diisocyanates (N120),333 Machinery,0.0,0.0,0.0,0,0.0,0.0,0,0
BEST BLOCK - GEORGIA PLANT,3021WBSTBL7685B,2020,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7685 BISHOP RD,"FAIRBURN, GA",33.545361,-84.62111,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2020,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Ethylene glycol (107-21-1),4246 Chemical Wholesalers,0.0,0.0,0.0,0,0.0,0.0,0,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2020,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Toluene (108-88-3),4246 Chemical Wholesalers,0.0,0.0,0.0,0,0.0,0.0,0,0
KOR-CHEM INC,30336KRCHM5800B,2020,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,5800 BUCKNELL DR,"ATLANTA, GA",33.74407,-84.57048,"1,4-Dichlorobenzene (106-46-7)",325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
KOR-CHEM INC,30336KRCHM5800B,2020,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,5800 BUCKNELL DR,"ATLANTA, GA",33.74407,-84.57048,Certain glycol ethers (N230),325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
KOR-CHEM INC,30336KRCHM5800B,2020,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,5800 BUCKNELL DR,"ATLANTA, GA",33.74407,-84.57048,Nitric acid (7697-37-2),325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2020,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Copper compounds (N100),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2020,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Manganese compounds (N450),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2020,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Propylene (115-07-1),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2020,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Zinc compounds (N982),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
NITRO QUIMICA CORP,30337SCHLL2300W,2020,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2300 W POINT AVE,"ATLANTA, GA",33.63617,-84.46188,Methanol (67-56-1),325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
READY MIX USA LLC - COLLEGE PARK PLANT,3033WRDYMX4679R,2020,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2194 W POINT AVE,"ATLANTA, GA",33.63673,-84.46115,Lead compounds (N420),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
STO CORP,30331STCRP6175R,2020,13121010313,131210103131,82,30,97,36,29,0,30,60,37,30331,6175 RIVERSIDE DR SW,"ATLANTA, GA",33.70942,-84.58968,Zinc compounds (N982),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
UFP UNION CITY LLC,30291NVRSL6843G,2020,13121010528,131210105282,79,26,93,26,71,0,0,0,0,30291,5200 HWY 138 SUITE 100,"UNION CITY, GA",33.56946,-84.55475,Copper compounds (N100),321 Wood Products,0.0,0.0,0.0,0,0.0,0.0,0,0
UFP UNION CITY LLC,30291NVRSL6843G,2020,13121010528,131210105282,79,26,93,26,71,0,0,0,0,30291,5200 HWY 138 SUITE 100,"UNION CITY, GA",33.56946,-84.55475,Sodium nitrite (7632-00-0),321 Wood Products,0.0,0.0,0.0,0,0.0,0.0,0,0
VALVOLINE,30337VLVLN4680E,2020,13121010604,131210106041,93,83,91,87,78,75,48,38,0,30337,4680 EDISON DR,"COLLEGE PARK, GA",33.628128,-84.464652,Zinc compounds (N982),324 Petroleum Products,0.0,0.0,0.0,0,0.0,0.0,0,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2020,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Polycyclic aromatic compounds (N590),321 Wood Products,0.0,0.0,0.0,0,0.0,0.9,0,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Styrene (100-42-5),325 Chemicals,44320.53,8200.3,0.0,0,36120.23,74081.8,184814814,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Xylene (mixed isomers) (1330-20-7),325 Chemicals,11618.3,715.3,0.0,0,10903.0,114965.3,359063562,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Ethylene glycol (107-21-1),325 Chemicals,9819.0,84.0,0.0,0,9735.0,16618.5,76297558,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Phthalic anhydride (85-44-9),325 Chemicals,8665.0,3345.0,0.0,0,5320.0,12085.0,1377215100,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Toluene (108-88-3),325 Chemicals,5380.0,5380.0,0.0,0,0.0,190074.0,3325378,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Xylene (mixed isomers) (1330-20-7),332 Fabricated Metals,4488.0,4488.0,0.0,0,0.0,474770.0,138701640,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Xylene (mixed isomers) (1330-20-7),325 Chemicals,4060.91,4060.0,0.0,0,0.91,646247.41,125502424,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Toluene (108-88-3),325 Chemicals,2870.8,523.8,0.0,0,2347.0,8170.8,27264974,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Ethylbenzene (100-41-4),325 Chemicals,2715.7,184.7,0.0,0,2531.0,31272.7,2603510489,0
SVC MANUFACTURING,30336QKRTS1650W,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,1650 WESTGATE PKWY,"ATLANTA, GA",33.70994,-84.59697,Peracetic acid (79-21-0),3121 Beverages,1807.85,1807.85,0.0,0,0.0,29539.97,7183491975,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Zinc compounds (N982),325 Chemicals,1777.3,23.76,0.0,0,1753.54,1777.3,156935590,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2021,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Manganese compounds (N450),311 Food,1757.0,0.0,0.0,0,1757.0,1757.0,18617172000,1
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2021,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Zinc compounds (N982),311 Food,1757.0,0.0,0.0,0,1757.0,1757.0,155143100,1
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,n-Butyl alcohol (71-36-3),332 Fabricated Metals,1661.0,1661.0,0.0,0,0.0,166136.0,14666630,0
